"term","estimate","std.error","statistic","p.value"
"(Intercept)",-7.13923126680537,0.0506960715462781,-140.82415163645,0
"tmmx",0.0383336559999234,0.000176123803871139,217.651760621581,0
"pr",0.00115967692197707,0.000203556635036899,5.69707257032843,1.22151620241515e-08
"sqrt_vpd",-1.6173921822316,0.00415072118135589,-389.665340446514,0
"srad",-0.000464455243080284,1.63835923155212e-05,-28.3488037382545,3.09811533637979e-176
"vs",0.00895245218305399,0.000558425556318994,16.0315946893018,8.76840669009107e-58
"cliB",0.00794452953103334,0.00968631706786593,0.820180619256113,0.412114694796916
"cliC",0.0625137872672109,0.00959247355362127,6.51696217016009,7.20137543187194e-11
"cliD",0.0917216825436926,0.00970665817492488,9.44935742979353,3.46452813294176e-21
"cliE",-0.0439365977601958,0.0424822278533315,-1.03423478429346,0.301028394400313
"seasonSpring",0.104250938218949,0.00235308806218811,44.3038830098043,0
"seasonSummer",0.044126131365753,0.00230104984839883,19.1765212720002,7.60363722965253e-82
"seasonWinter",0.135843882892026,0.00187533813264569,72.4370077733022,0
"p",0.00302825821535197,0.000223988531591761,13.5197020750653,1.27914610157804e-41
